id,name,price,brand,cpu,memory,storage
66,HP ZBook Studio x360 G5,16339,HP,Intel Core i7-8850H,16GB,512GB
67,HP ZBook Studio x360 G5,54575,HP,Intel Core i7-8850H,32GB,1TB
68,HP ZBook 15 G5,31490,HP,Intel Core i7-8850H,16GB,512GB
69,HP ZBook 17 G5,46285,HP,Intel Core i7-8850H,8GB,512GB
70,Lenovo V130-15,6297,Lenovo,Intel Core i5-7200U,8GB,256GB
71,HP ZBook 15 G5,32145,HP,Intel Core i7-8750H,8GB,256GB
72,HP ZBook 17 G5,35039,HP,Intel Core i7-8750H,8GB,256GB
73,HP EliteBook 840 G5,22939,HP,Intel Core i5-8350U,8GB,256GB
74,HP EliteBook 850 G5,30059,HP,Intel Core i7-8650U,16GB,512GB
75,HP EliteBook 850 G5,25715,HP,Intel Core i5-8350U,8GB,256GB
76,HP EliteBook 830 G5,24950,HP,Intel Core i5-8350U,8GB,256GB
